Team,Conference,SOS,Prev SOS,Adj. RPI,Adj. RPI Value,RPI,RPI Value,WL,Adj. Non-Conf RPI,Non-Conf Record,Conf RPI,Conf. Record,Road WL,Last 10 Games,RPI 1-25,RPI 26-50,RPI 51-100,RPI 101+,vs TOP 100,vs below 150,NC SOS,NC SOS Value,advanced
Cornell,Ivy League,248,246,232,0.43538,240,0.43538,15-23,155,8-9,27,7-14,8-11,4-6,0-0,0-0,0-2,15-21,0-2,12-16,152,0.50287,0
Dartmouth,Ivy League,249,252,214,0.45153,213,0.45643,20-24,246,6-17,27,14-7,6-11,7-3,0-5,0-1,0-4,20-14,0-10,18-12,209,0.47117,0
Detroit Mercy,Horizon,250,249,295,0.36576,296,0.37136,6-36,294,0-15,29,6-21,3-21,3-7,0-1,0-0,0-0,6-35,0-1,6-24,164,0.49451,0
UT Martin,OVC,251,250,144,0.49837,133,0.50257,34-19,210,15-9,18,19-10,12-10,7-3,0-0,0-2,2-6,32-11,2-8,30-4,299,0.36138,0
Evansville,MVC,252,253,204,0.45829,201,0.46319,24-27,154,15-8,12,9-19,7-10,3-7,0-3,0-0,2-6,22-18,2-9,18-11,280,0.40847,0
Robert Morris,Horizon,253,256,158,0.48604,153,0.48744,31-21,137,11-10,29,20-11,15-10,5-5,0-1,0-2,0-1,31-17,0-4,25-12,183,0.48062,0
Dayton,Atlantic 10,254,251,197,0.46178,205,0.46178,22-24,225,7-12,25,15-12,8-9,6-4,0-0,0-3,1-4,21-17,1-7,18-11,246,0.44723,0
Niagara,MAAC,255,254,264,0.40833,257,0.42163,14-26,272,6-14,28,8-12,3-16,2-8,0-0,0-3,0-2,14-21,0-5,14-18,247,0.44676,0
UNCW,CAA,256,261,110,0.51757,108,0.51967,32-13,121,18-5,14,14-8,7-5,7-3,0-0,0-0,3-3,29-10,3-3,21-3,285,0.39903,1
Manhattan,MAAC,257,258,284,0.38874,275,0.40624,13-32,285,6-19,28,7-13,4-13,2-8,0-0,0-2,0-2,13-28,0-4,12-22,257,0.436,0
Tennessee Tech,OVC,258,257,155,0.4876,152,0.4876,32-22,135,18-6,18,14-16,12-9,2-8,0-1,0-0,1-8,31-13,1-9,25-6,294,0.38271,0
